date,order_id,customer_id,book_id,book_title,category,price,quantity
2023-12-22,901,C101,B011,AI倫理入門,AI,3500,1
2023-12-22,901,C101,B012,ビッグデータ解析,データサイエンス,4200,1
2023-12-23,902,C102,B013,サイバーセキュリティ基礎,セキュリティ,3800,1
2023-12-23,903,C103,B011,AI倫理入門,AI,3500,2
2023-12-24,904,C104,B014,UXデザイン実践,デザイン,3200,1
2023-12-24,905,C105,B012,ビッグデータ解析,データサイエンス,4200,1
2023-12-25,906,C106,B015,確率論と統計学,数学,2800,1
2023-12-25,906,C106,B013,サイバーセキュリティ基礎,セキュリティ,3800,1
2023-12-26,907,C107,B016,NoSQLデータベース入門,データベース,3600,1
2023-12-26,908,C108,B011,AI倫理入門,AI,3500,1
2023-12-27,909,C109,B017,TypeScript実践ガイド,プログラミング,3900,1
2023-12-27,910,C110,B015,確率論と統計学,数学,2800,2
2023-12-28,911,C111,B012,ビッグデータ解析,データサイエンス,4200,1
2023-12-28,911,C111,B016,NoSQLデータベース入門,データベース,3600,1
2023-12-29,912,C112,B018,データ可視化テクニック,データサイエンス,3700,1
2023-12-29,913,C113,B013,サイバーセキュリティ基礎,セキュリティ,3800,1
2023-12-30,914,C114,B019,量子コンピューティング入門,量子コンピューティング,5500,1
2023-12-30,915,C115,B011,AI倫理入門,AI,3500,1
2023-12-31,916,C116,B020,DevOps実践ガイド,インフラ,4100,1
